,Event.Id,Accident.Number,Event.Date,Location,Country,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
1928,20020917X02688,ANC82DAG35,1982-07-12,"WASILLA, AK",United States,WASILLA,Non-Fatal,Substantial,Airplane,N9891W,Piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,12-07-1983
1929,20020917X02653,ANC82DA061,1982-07-12,"SOLDOTNA, AK",United States,MACKEYS LAKES,Non-Fatal,Substantial,Airplane,N5276D,Cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,12-07-1983
1930,20020917X04115,SEA82DA110,1982-07-12,"ADRIAN, OR",United States,AG STRIP,Non-Fatal,Substantial,Airplane,N5610X,Rockwell Int't,S2R,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,12-07-1983
1931,20020917X03353,FTW82DA277B,1982-07-12,"JUSTIN, TX",United States,SITTON FIELD,Non-Fatal,Substantial,Airplane,N48635,Grumman,G-164A,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,1.0,VMC,Landing,Probable Cause,12-07-1983
1932,20020917X03675,LAX82FA255,1982-07-13,"SCHELLVILLE, CA",United States,SCHELLVILLE,Non-Fatal,Destroyed,Airplane,N27GP,Mitsubishi,MU-2B,No,2.0,Turbo Prop,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,13-07-1983
1933,20020917X02842,ATL82FA184,1982-07-13,"CHARLESTON, SC",United States,CHARLESTON EXEC,Fatal(1),Destroyed,Airplane,N6234L,Cessna,152,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,13-07-1983
1934,20020917X03839,MKC82DA124,1982-07-13,"FT. LEAVENWORTH, KS",United States,SHERMAN ARMY FIELD,Non-Fatal,Substantial,Airplane,N10015,Cessna,305A,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,13-07-1983
1935,20020917X03837,MKC82DA122,1982-07-13,"LAURENS, IA",United States,SKYWAYS,Non-Fatal,Substantial,Airplane,N1456G,Beech,95-A55,No,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,13-07-1983
1937,20020917X03582,LAX82DA263,1982-07-13,"BAKERSFIELD, CA",United States,PRIVATE,Non-Fatal,Substantial,Airplane,N2744Q,Cessna,A185F,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-07-1983
1938,20020917X03581,LAX82DA257,1982-07-13,"LITTLE RIVER, CA",United States,LITTLE RIVER AIRPORT,Non-Fatal,Substantial,Airplane,N6628E,Beech,C23,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-07-1983
1939,20020917X03156,DEN82DA134,1982-07-13,"ENGLEWOOD, CO",United States,ARAPAHOE COUNTY,Non-Fatal,Substantial,Airplane,N8277D,Piper,PA-28RT-201,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,13-07-1983
1941,20020917X02779,ATL82DA199,1982-07-13,"WETUMPKA, AL",United States,WETUMPKA MUNICIPAL ARPT.,Non-Fatal,Substantial,Airplane,N7234,Grumman,G-164A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,13-07-1983
1945,20020917X03760,MIA82DA154,1982-07-14,"LAKE WALES, FL",United States,LAKE WALES MUNI,Non-Fatal,Destroyed,Airplane,N7373V,Bellanca,17-31,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,14-07-1983
1946,20020917X03676,LAX82FA256,1982-07-14,"CARSON CITY, NV",United States,CARSON AIRPORT,Fatal(1),Destroyed,Airplane,N301M,Cessna,195,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,14-07-1983
1949,20020917X03840,MKC82DA125,1982-07-14,"BONNER SPRINGS, KS",United States,WINDSOCK FARM (PVT),Non-Fatal,Substantial,Airplane,N3335J,Cessna,150G,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,14-07-1983
1950,20020917X03362,FTW82DA286,1982-07-14,"RIO HONDO, TX",United States,BURKES STRIP,Non-Fatal,Substantial,Airplane,N4448S,Air Tractor,AT-301,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,14-07-1983
1951,20020917X02843,ATL82FA195,1982-07-14,"BIRMINGHAM, AL",United States,BIRMINGHAM MUNICIPAL,Non-Fatal,Substantial,Airplane,N98316,Piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,Takeoff,Probable Cause,14-07-1983
1952,20020917X02780,ATL82DA200,1982-07-14,"RICHMOND, KY",United States,MADISON,Non-Fatal,Substantial,Airplane,N37109,Ercoupe,415-C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,14-07-1983
1953,20020917X02705,ANC82FA059,1982-07-14,"SKWENTNA, AK",United States,SKWENTNA,Non-Fatal,Substantial,Helicopter,N4966,Aerospatiale,SA-318C,No,1.0,Turbo Shaft,Public Aircraft,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,14-07-1983
1955,20020917X02778,ATL82DA197,1982-07-14,"SAVANNAH, GA",United States,SAVANNAH MUNICIPAL,Non-Fatal,Substantial,Airplane,N53812,Bellanca,7ECA,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,14-07-1983
1958,20020917X02844,ATL82FA196,1982-07-15,"ROSWELL, GA",United States,DEKALB PEACHTREE,Fatal(1),Destroyed,Airplane,N6868P,Piper,PA-24-250,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,15-07-1983
1959,20020917X03965,NYC82DA159,1982-07-15,"LATHAM, NY",United States,ALBANY COUNTY AIRPORT,Non-Fatal,Substantial,Airplane,N26209,Cessna,R172E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,15-07-1983
1960,20020917X03700,LAX82FUG14,1982-07-15,"BERMUDA DUNES, CA",United States,BERMUDA DUNES,Non-Fatal,Substantial,Airplane,N7115L,Grumman,AA-5,No,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,Takeoff,Probable Cause,15-07-1983
1961,20020917X03359,FTW82DA283,1982-07-15,"PORT O'CONNOR, TX",United States,CLOSED AIRPORT,Non-Fatal,Substantial,Airplane,N3123W,Beech,A36,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,15-07-1983
1962,20020917X03157,DEN82DA135,1982-07-15,"OAKES, ND",United States,OAKES MUNICIPAL,Non-Fatal,Substantial,Airplane,N8878M,Beech,A23,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,15-07-1983
1963,20020917X02994,CHI82DA264,1982-07-15,"ZANESVILLE, OH",United States,PARR,Non-Fatal,Substantial,Airplane,N93444,Cessna,152II,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,15-07-1983
1964,20020917X02984,CHI82DA250,1982-07-15,"SALEM, IL",United States,SALEM,Non-Fatal,Substantial,Airplane,N7047Y,Piper,PA-30-160,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,15-07-1983
1966,20020917X04119,SEA82DA115,1982-07-16,"TOKETEE, OR",United States,TOKETEE (USFS),Non-Fatal,Destroyed,Airplane,N9692U,Grumman,AA-5A,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,16-07-1983
1968,20020917X03680,LAX82FA262,1982-07-16,"RENO, NV",United States,RENO CANNON INTERNATIONAL,Fatal(1),Destroyed,Airplane,N66GH,Cessna,T-210L,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,16-07-1983
1970,20020917X02985,CHI82DA251,1982-07-16,"WASHINGTON ISLAND, WI",United States,WASHINGTON IS,Non-Fatal,Destroyed,Airplane,N64947,Cessna,172P,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,1.0,VMC,Landing,Probable Cause,01-02-2016
1972,20020917X04124,SEA82DA121,1982-07-16,"NEWPORT, OR",United States,YEQUINA BAY,Non-Fatal,Substantial,Airplane,N1216L,Lake,LA-4,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,16-07-1983
1975,20020917X03586,LAX82DA268,1982-07-16,"CHOWCHILLA, CA",United States,CHOWCHILLA,Non-Fatal,Substantial,Airplane,N18010,Cessna,150L,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,16-07-1983
1976,20020917X03449,FTW82FPA15,1982-07-16,"MARLIN, TX",United States,MARLIN,Non-Fatal,Substantial,Airplane,N8760D,Piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,Takeoff,Probable Cause,16-07-1983
1978,20020917X02991,CHI82DA258,1982-07-16,"BELLEVILLE, MI",United States,LARSEN AIRPARK,Non-Fatal,Substantial,Airplane,N5PL,Luscombe,8F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,16-07-1983
1980,20020917X02796,ATL82DA220,1982-07-16,"ST. SIMONS ISLA, GA",United States,MALCOLM MCKINNON,Non-Fatal,Substantial,Airplane,N2747V,Cessna,210D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,16-07-1983
1983,20020917X04178,SEA82FYP09,1982-07-17,"WENATCHEE, WA",United States,PANGBORN FIELD,Fatal(3),Destroyed,Airplane,N72655,Cessna,172M,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,17-07-1983
1984,20020917X04120,SEA82DA116,1982-07-17,"SHERIDAN, OR",United States,SHERIDAN,Non-Fatal,Destroyed,Airplane,N4758N,Beech,C45G,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,17-07-1983
1986,20020917X04174,SEA82FYM21,1982-07-17,"HOOD RIVER, OR",United States,HOOD RIVER,Non-Fatal,Substantial,Airplane,N756XW,Cessna,TU206G,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,17-07-1983
1989,20020917X03159,DEN82DA137,1982-07-17,"NEAR ALMOSA, CO",United States,ABANDONED AIRSTRIP,Non-Fatal,Substantial,Airplane,N5114S,Piper,PA-28R,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,17-07-1983
1990,20020917X02989,CHI82DA256,1982-07-17,"MACKINAC, MI",United States,MACKINAC,Non-Fatal,Substantial,Airplane,N31844,Piper,PA-32RT,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,17-07-1983
1992,20020917X02986,CHI82DA252,1982-07-17,"BLOOMINGTON, IN",United States,MONROE COUNTY,Non-Fatal,Substantial,Airplane,N8381G,Cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,17-07-1983
1994,20020917X02782,ATL82DA203,1982-07-17,"COVINGTON, TN",United States,COVINGTON MUNI,Non-Fatal,Substantial,Airplane,N5715L,American,AA-1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,Probable Cause,17-07-1983
1995,20020917X02781,ATL82DA201,1982-07-17,"TAPLIN, WV",United States,MCDONALD FIELD,Non-Fatal,Substantial,Airplane,N9245X,Cessna,182E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,17-07-1983
1999,20020917X03475,FTW82FQA22,1982-07-18,"SANTA FE, NM",United States,SANTA FE MUNICIPAL,Fatal(4),Destroyed,Airplane,N6215D,Cessna,172N,No,1.0,Reciprocating,Business,4.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,18-07-1983
2000,20020917X03077,CHI82FA255,1982-07-18,"PINE VALLEY TOW, WI",United States,NEILSVILLE,Fatal(2),Destroyed,Airplane,N85580,Aeronca,7AC,Yes,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,18-07-1983
2002,20020917X03964,NYC82DA158,1982-07-18,"MILLBROOK, NY",United States,SKY ACRES,Non-Fatal,Substantial,Airplane,N782Y,Beech,C23,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,18-07-1983
2003,20020917X03963,NYC82DA157,1982-07-18,"PITTSBURGH, PA",United States,ALLEGHENY CO. AIRPORT,Non-Fatal,Substantial,Airplane,N6022U,Beech,C23,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,18-07-1983
2004,20020917X03842,MKC82DA127,1982-07-18,"FALLS CITY, NE",United States,BRENNER FIELD,Non-Fatal,Substantial,Airplane,N8532N,Piper,PA-28-235D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,18-07-1983
2005,20020917X03841,MKC82DA126,1982-07-18,"LAWRENCE, KS",United States,LAWRENCE MUNICIPAL,Non-Fatal,Substantial,Airplane,N43957,Piper,PA-28-181,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,18-07-1983
2007,20020917X03585,LAX82DA266,1982-07-18,"GRAND CANYON, AZ",United States,GRAND CANYON ARPT,Non-Fatal,Substantial,Airplane,N4600S,Beech,A36,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,18-07-1983
2009,20020917X03360,FTW82DA284,1982-07-18,"JONESTOWN, TX",United States,BAR-K AIRPARK,Non-Fatal,Substantial,Airplane,N34RS,Beech,95-A55,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,18-07-1983
2010,20020917X02990,CHI82DA257,1982-07-18,"YPSILANTI, MI",United States,WILLOW RUN,Non-Fatal,Substantial,Airplane,N52GS,Beech,36,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,6.0,VMC,Taxi,Probable Cause,18-07-1983
2011,20020917X02988,CHI82DA254,1982-07-18,"HAMILTON, OH",United States,HAMILTON,Non-Fatal,Substantial,Airplane,N1978D,Beech,C35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,18-07-1983
2012,20020917X02845,ATL82FA202,1982-07-18,"EASTOVER, NC",United States,AG-STRIP,Non-Fatal,Substantial,Airplane,N42098,Piper,J3C-65,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,18-07-1983
2013,20020917X04121,SEA82DA118,1982-07-19,"NEAR DIXIE, ID",United States,ROOT RANCH AIRSTRIP,Non-Fatal,Destroyed,Airplane,N8548T,Cessna,182C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-07-1983
2015,20020917X03364,FTW82DA288,1982-07-19,"HUNTSVILLE, TX",United States,HUNTSVILLE MUNI,Non-Fatal,Substantial,Airplane,N5421P,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,19-07-1983
2016,20020917X02783,ATL82DA204,1982-07-19,"EDISON, GA",United States,AGRICULTURAL FIELD,Non-Fatal,Substantial,Airplane,N8132K,Gulfstream,G-164B,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,19-07-1983
2017,20020917X02672,ANC82DAA09,1982-07-19,"FT. YUKON, AK",United States,FT. YUKON,Non-Fatal,Substantial,Airplane,N52763,Cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,19-07-1983
2021,20020917X03895,MKC82IA128,1982-07-20,"FENTON, MO",United States,WEISS,Incident,Minor,Airplane,N3606B,Beech,E18S,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-07-1983
2023,20020917X03233,DEN82FTM14,1982-07-20,"OGDEN, UT",United States,OGDEN MUNI,Non-Fatal,Destroyed,Airplane,N50733,Osprey,II,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,20-07-1983
2024,20020917X03078,CHI82FA259,1982-07-20,"WINAMAC, IN",United States,GIMPLE,Fatal(1),Destroyed,Airplane,N6241Z,Piper,PA-25-150,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,20-07-1983
2025,20020917X04122,SEA82DA119,1982-07-20,"CRESWELL, OR",United States,MAZAMA NEWPORT,Non-Fatal,Substantial,Helicopter,N8694F,Hughes,369D,No,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-07-1983
2028,20020917X03363,FTW82DA287,1982-07-20,"HUMNOKE, AR",United States,ISBELLS STRIP,Non-Fatal,Substantial,Airplane,N6689K,Grumman,G-164B,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,20-07-1983
2029,20020917X03160,DEN82DA138,1982-07-20,"BILLINGS, MT",United States,BILLINGS LOGAN,Non-Fatal,Substantial,Airplane,N6487D,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,20-07-1983
2031,20020917X02873,ATL82FKM06,1982-07-20,"GREENSBORO, NC",United States,SOUTHEAST,Fatal(1),Substantial,Airplane,N2260K,Evans Aircraft,VP-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,20-07-1983
2032,20020917X02784,ATL82DA205,1982-07-20,"BIRMINGHAM, AL",United States,BIRMINGHAM MUNICIPAL,Non-Fatal,Substantial,Airplane,N2TP,Beech,J35,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,20-07-1983
2037,20020917X03463,FTW82FPG19,1982-07-21,"NORTH LITTLE RO, AR",United States,NORTH LITTLE ROCK,Fatal(1),Destroyed,Airplane,N60246,Cessna,150J,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,21-07-1983
2043,20020917X03589,LAX82DA272,1982-07-21,"SANTA YNEZ, CA",United States,SANTA YNEZ,Non-Fatal,Substantial,Airplane,N90088,Cessna,140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,21-07-1983
2045,20020917X03587,LAX82DA270,1982-07-21,"KERNVILLE, CA",United States,KERN VALLEY,Non-Fatal,Substantial,Airplane,N2064B,Luscombe,8A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,21-07-1983
2047,20020917X03095,CHI82FEV06,1982-07-21,"JACKSONVILLE, IL",United States,JACKSONVILLE,Non-Fatal,Substantial,Airplane,N757LG,Cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,21-07-1983
2048,20020917X02993,CHI82DA263,1982-07-21,"BERRIEN SPRINGS, MI",United States,ANDREWS UNIVERSITY,Non-Fatal,Substantial,Airplane,N1914L,Beech,B19,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,21-07-1983
2049,20020917X02785,ATL82DA206,1982-07-21,"SOMERVILLE, TN",United States,FAYETTE COUNTY,Non-Fatal,Substantial,Airplane,N31461,Pitts,S2S,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,21-07-1983
2050,20020917X03720,LAX82FVG29,1982-07-21,"SACRAMENTO, CA",United States,SACRAMENTO EXEC.,Non-Fatal,Substantial,Airplane,N22912,Cessna,150,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,21-07-1983
2051,20020917X02995,CHI82DA265,1982-07-21,"MURDOCK, MN",United States,MURLOCK,Non-Fatal,Substantial,Airplane,N8801Y,Eagle,DW-1,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,21-07-1983
2054,20020917X03726,LAX82FXQ11,1982-07-22,"RENO, NV",United States,STEAD AFB,Non-Fatal,Destroyed,Airplane,N81PH,Omac,1,No,1.0,Turbo Jet,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,22-07-1983
2055,20020917X03466,FTW82FPJ17,1982-07-22,"HARRAH, OK",United States,PRIVATE STRIP,Fatal(1),Destroyed,Airplane,N655FL,Piper,28-140,No,1.0,Reciprocating,Business,1.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,22-07-1983
2057,20020917X04043,NYC82FGT16,1982-07-22,"TOWER CITY, PA",United States,BENDIGO,Non-Fatal,Substantial,Airplane,N55JG,Bucker Jungmann,BU-131,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,22-07-1983
2059,20020917X03368,FTW82DA292,1982-07-22,"AUSTIN, TX",United States,ROBERT MUELLER,Non-Fatal,Substantial,Airplane,N8218M,Cessna,210K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,22-07-1983
2060,20020917X03163,DEN82DA141,1982-07-22,"BROOMFIELD, CO",United States,JEFERSON COUNTY AIRPORT,Non-Fatal,Substantial,Airplane,N28218,American,AA5B,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,2.0,VMC,Takeoff,Probable Cause,22-07-1983
2061,20020917X03162,DEN82DA140,1982-07-22,"GLENBURN, ND",United States,GLENBURN MUNICIPAL,Non-Fatal,Substantial,Airplane,N949A,Piper,PA-22,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,22-07-1983
2062,20020917X04126,SEA82DA124,1982-07-22,"CORVALLIS, OR",United States,CORVALLIS,Non-Fatal,Substantial,Airplane,N8168U,Cessna,150M,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,UNK,Landing,Probable Cause,22-07-1983
2063,20020917X03768,MIA82DA163,1982-07-22,"MALONE, FL",United States,WAYNE'S AIR SVC.(PRIVATE),Non-Fatal,Substantial,Airplane,N4494Q,Cessna,188B,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,22-07-1983
2065,20020917X04066,NYC82IA162,1982-07-23,"WESTHAMPTON BEA, NY",United States,SUFFOLK CO.,Incident,Minor,Airplane,N26005,Piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,23-07-1983
2066,20020917X03968,NYC82DA163,1982-07-23,"ANSONIA, CT",United States,ANSONIA,Non-Fatal,Destroyed,Airplane,N7291S,Cessna,150H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,23-07-1983
2069,20020917X02996,CHI82DA268,1982-07-23,"ANTIOCH, IL",United States,ANTIOCH,Non-Fatal,Destroyed,Airplane,N2365P,Piper,PA-38,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,23-07-1983
2072,20020917X03082,CHI82FA267,1982-07-23,"MILWAUKEE, WI",United States,TIMMERMAN,Non-Fatal,Substantial,Helicopter,N9031F,Robinson,R22,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,23-07-1983
2073,20020917X02999,CHI82DA271,1982-07-23,"WARREN, OH",United States,WARREN,Non-Fatal,Substantial,Airplane,N206BA,Cessna,206G,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,23-07-1983
2074,20020917X02997,CHI82DA269,1982-07-23,"ISLE, MN",United States,ISLE SOUTH CAMPGROUND,Non-Fatal,Substantial,Airplane,N733CH,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,23-07-1983
2075,20020917X03516,LAX82AA274,1982-07-23,"VALENCIA, CA",United States,INDIAN DUNES,Fatal(3),Substantial,Helicopter,N87701,Bell,UH-1B,No,1.0,Turbo Shaft,Unknown,3.0,0.0,6.0,0.0,VMC,Maneuvering,Probable Cause,23-07-1983
2079,20020917X04152,SEA82DYK10,1982-07-24,"MCKENZIE BRIDGE, OR",United States,MCKENZIE BRIDGE STATE,Fatal(2),Destroyed,Airplane,N7932K,Beech,S35,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,24-07-1983
2081,20020917X04128,SEA82DA127,1982-07-24,"BURLEY, ID",United States,AG STRIP,Non-Fatal,Destroyed,Airplane,N9532,Grumman,G-164A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,24-07-1983
2082,20020917X03002,CHI82DA274,1982-07-24,"LOAMI, IL",United States,PARKS,Non-Fatal,Destroyed,Airplane,N4970Q,Cessna,188B,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,24-07-1983
2087,20020917X03844,MKC82DA130,1982-07-24,"COUNCIL BLUFFS, IA",United States,COUNCIL BLUFFS MUNICIPAL,Non-Fatal,Substantial,Airplane,N9391C,Piper,PA-28,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,24-07-1983
2088,20020917X03590,LAX82DA276,1982-07-24,"SAN CARLOS, CA",United States,SAN CARLOS,Non-Fatal,Substantial,Airplane,N5107V,Morrisey,2150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,24-07-1983
2089,20020917X03375,FTW82DA300,1982-07-24,"HEMPSTEAD, TX",United States,HEMPSTEAD,Non-Fatal,Substantial,Glider,N13JR,Schleicher,ASW-20,No,0.0,Unknown,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,24-07-1983
2091,20020917X02846,ATL82FA208,1982-07-24,"SYLVA, NC",United States,JACKSON COUNTY,Non-Fatal,Substantial,Airplane,N6648X,Beech,B-60,No,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,24-07-1983
2092,20020917X02790,ATL82DA213,1982-07-24,"LITTLE RIVER, SC",United States,CYPRESS BAY,Non-Fatal,Substantial,Glider,N1181S,Schweizer,SGS-2-33A,No,0.0,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,24-07-1983
2093,20020917X03970,NYC82DA165,1982-07-24,"SAGAPONACK, NY",United States,CLIFF-FOSTER FARM,Non-Fatal,Substantial,Airplane,N5291G,Cessna,305A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,24-07-1983
